TIME,GEO,WST_OPER,UNIT,Value
2004,Czechia,Recycling - material,Thousand tonnes,138
2004,Denmark,Waste generated,Thousand tonnes,"3,757"
2004,Denmark,Waste treatment,Thousand tonnes,"3,757"
2004,Denmark,Recycling - material,Thousand tonnes,934
2004,Germany (until 1990 former territory of the FRG),Waste generated,Thousand tonnes,"48,434"
2004,Germany (until 1990 former territory of the FRG),Waste treatment,Thousand tonnes,"48,434"
2004,Germany (until 1990 former territory of the FRG),Recycling - material,Thousand tonnes,"19,587"
2004,Estonia,Waste generated,Thousand tonnes,606
2004,Estonia,Waste treatment,Thousand tonnes,534
2004,Estonia,Recycling - material,Thousand tonnes,142
2004,Ireland,Waste generated,Thousand tonnes,"3,001"
2004,Ireland,Waste treatment,Thousand tonnes,"2,704"
2004,Ireland,Recycling - material,Thousand tonnes,835
2004,Greece,Waste generated,Thousand tonnes,"4,782"
2004,Greece,Waste treatment,Thousand tonnes,"4,781"
2004,Greece,Recycling - material,Thousand tonnes,481
2004,Spain,Waste generated,Thousand tonnes,"25,746"
2004,Spain,Waste treatment,Thousand tonnes,"22,361"
2004,Spain,Recycling - material,Thousand tonnes,"3,730"
2004,France,Waste generated,Thousand tonnes,"32,444"
2004,France,Waste treatment,Thousand tonnes,"32,444"
2004,France,Recycling - material,Thousand tonnes,"4,970"
2004,Croatia,Waste generated,Thousand tonnes,"1,311"
2004,Italy,Waste generated,Thousand tonnes,"31,150"
2004,Italy,Waste treatment,Thousand tonnes,"26,626"
2004,Italy,Recycling - material,Thousand tonnes,"3,509"
2004,Cyprus,Waste generated,Thousand tonnes,498
2004,Cyprus,Waste treatment,Thousand tonnes,498
2004,Cyprus,Recycling - material,Thousand tonnes,16
2004,Latvia,Waste generated,Thousand tonnes,720
2004,Latvia,Waste treatment,Thousand tonnes,647
2004,Latvia,Recycling - material,Thousand tonnes,25
2004,Lithuania,Waste generated,Thousand tonnes,"1,260"
2004,Lithuania,Waste treatment,Thousand tonnes,"1,177"
2004,Lithuania,Recycling - material,Thousand tonnes,14
2004,Luxembourg,Waste generated,Thousand tonnes,311
2004,Luxembourg,Waste treatment,Thousand tonnes,311
2004,Luxembourg,Recycling - material,Thousand tonnes,72
2004,Hungary,Waste generated,Thousand tonnes,"4,592"
2004,Hungary,Waste treatment,Thousand tonnes,"4,552"
2004,Hungary,Recycling - material,Thousand tonnes,501
2004,Malta,Waste generated,Thousand tonnes,250
2004,Malta,Waste treatment,Thousand tonnes,250
2004,Malta,Recycling - material,Thousand tonnes,3
2004,Netherlands,Waste generated,Thousand tonnes,"9,746"
2004,Netherlands,Waste treatment,Thousand tonnes,"8,009"
2004,Netherlands,Recycling - material,Thousand tonnes,"2,183"
2004,Austria,Waste generated,Thousand tonnes,"4,687"
2004,Austria,Waste treatment,Thousand tonnes,"4,625"
2004,Austria,Recycling - material,Thousand tonnes,"1,116"
2004,Poland,Waste generated,Thousand tonnes,"9,759"
2004,Poland,Waste treatment,Thousand tonnes,"9,715"
2004,Poland,Recycling - material,Thousand tonnes,243
2004,Portugal,Waste generated,Thousand tonnes,"4,665"
2004,Portugal,Waste treatment,Thousand tonnes,"4,665"
2004,Portugal,Recycling - material,Thousand tonnes,320
2004,Romania,Waste generated,Thousand tonnes,"7,483"
2004,Romania,Waste treatment,Thousand tonnes,"6,001"
2004,Romania,Recycling - material,Thousand tonnes,83
2004,Slovenia,Waste generated,Thousand tonnes,969
2004,Slovenia,Waste treatment,Thousand tonnes,838
2004,Slovenia,Recycling - material,Thousand tonnes,183
2004,Slovakia,Waste generated,Thousand tonnes,"1,400"
2004,Slovakia,Waste treatment,Thousand tonnes,"1,400"
2004,Slovakia,Recycling - material,Thousand tonnes,46
2004,Finland,Waste generated,Thousand tonnes,"2,453"
2004,Finland,Waste treatment,Thousand tonnes,"2,532"
2004,Finland,Recycling - material,Thousand tonnes,639
